t, omega, theta, x, y
1.4000000000000001, 72.0, 7.200000000000003, 0.06448745558544107, 0.008146660181679779
1.41, 72.0, 7.9199999999999875, 0.06437999267028234, 0.008956368894501462
1.42, 72.0, 8.639999999999986, 0.06426236340796442, 0.009764663292849193
1.43, 72.0, 9.359999999999985, 0.06413458637351144, 0.01057141573766742
1.44, 72.0, 10.079999999999984, 0.06399668174439836, 0.011376498833392925
1.45, 72.0, 10.799999999999983, 0.06384867129736477, 0.012179785448072083
1.46, 72.0, 11.519999999999982, 0.06369057840497605, 0.012981148733436436
1.47, 72.0, 12.23999999999998, 0.06352242803193257, 0.01378046214493353
1.48, 72.0, 12.95999999999998, 0.06334424673112753, 0.014577599461709756
1.49, 72.0, 13.679999999999993, 0.06315606263945381, 0.015372434806542098
1.5, 72.0, 14.399999999999991, 0.06295790547336103, 0.01616484266571555
1.51, 72.0, 15.11999999999999, 0.0627498065241628, 0.01695469790884329
1.52, 72.0, 15.83999999999999, 0.06253179865309559, 0.017741875808626125
1.53, 72.0, 16.559999999999988, 0.06230391628612944, 0.018526252060548438
1.54, 72.0, 17.279999999999987, 0.0620661954085318, 0.019307702802507255
1.55, 72.0, 17.999999999999986, 0.06181867355918499, 0.02008610463437157
1.56, 72.0, 18.72, 0.061561389824658384, 0.02086133463746862
1.57, 72.0, 19.439999999999998, 0.061294384833036196, 0.021633270393994132
1.58, 72.0, 20.159999999999997, 0.06101770074750182, 0.022401790006343607
1.59, 72.0, 20.879999999999995, 0.06073138125967979, 0.02316677211636129
1.6, 72.0, 21.599999999999994, 0.06043547158273635, 0.023928095924504064
1.61, 72.0, 22.319999999999993, 0.060130018444239784, 0.024685641208917062
1.62, 72.0, 23.039999999999992, 0.059815070078781576, 0.025439288344418148
1.6300000000000001, 72.0, 23.75999999999999, 0.059490676220359646, 0.026188918321388064
1.6400000000000001, 72.0, 24.47999999999999, 0.059156888094524726, 0.02693441276456346
1.6500000000000001, 72.0, 25.200000000000003, 0.05881375841029127, 0.027675653951729728
1.6600000000000001, 72.0, 25.92, 0.05846134135181412, 0.028412524832310642
1.67, 72.0, 26.639999999999986, 0.058099692569832155, 0.029144909045852086
1.68, 72.0, 27.359999999999985, 0.0577288691728804, 0.0298726909403967
1.69, 72.0, 28.079999999999984, 0.05734892971827197, 0.0305957555907466
1.7, 72.0, 28.799999999999983, 0.05695993420285114, 0.031313988816611474
1.71, 72.0, 29.519999999999982, 0.05656194405351918, 0.032027277200638936
1.72, 72.0, 30.23999999999998, 0.05615502211753431, 0.03273550810632444
1.73, 72.0, 30.95999999999998, 0.05573923265258741, 0.03343856969579791
1.74, 72.0, 31.679999999999993, 0.05531464131665498, 0.03413635094748421
1.75, 72.0, 32.39999999999999, 0.05488131515763099, 0.034828741673634776
1.76, 72.0, 33.11999999999999, 0.054439322602739225, 0.03551563253772748
1.77, 72.0, 33.83999999999999, 0.05398873344772783, 0.036196915071732214
1.78, 72.0, 34.55999999999999, 0.053529618845847796, 0.03687248169323916
1.79, 72.0, 35.27999999999999, 0.053062051296616966, 0.037542225722447385
1.8, 72.0, 35.999999999999986, 0.05258610463437159, 0.038206041399010744
1.81, 72.0, 36.72, 0.05210185401660698, 0.03886382389873873
