t, omega, theta, x, y
0.84, 72.0, -33.12, 0.05990932260273922, 0.004904367462272505
0.85, 72.0, -32.4, 0.06035131515763099, 0.005591258326365214
0.86, 72.0, -31.68, 0.06078464131665497, 0.006283649052515772
0.87, 72.0, -30.96, 0.061209232652587396, 0.006981430304202077
0.88, 72.0, -30.239999999999995, 0.0616250221175343, 0.007684491893675545
0.89, 72.0, -29.519999999999996, 0.062031944053519174, 0.008392722799361048
0.9, 72.0, -28.799999999999997, 0.06242993420285114, 0.00910601118338851
0.91, 72.0, -28.07999999999999, 0.06281892971827197, 0.009824244409253387
0.92, 72.0, -27.359999999999992, 0.0631988691728804, 0.010547309059603292
0.93, 72.0, -26.639999999999993, 0.06356969256983215, 0.011275090954147908
0.9400000000000001, 72.0, -25.92, 0.06393134135181412, 0.012007475167689356
0.9500000000000001, 72.0, -25.200000000000003, 0.06428375841029127, 0.01274434604827027
0.96, 72.0, -24.480000000000004, 0.06462688809452471, 0.013485587235436525
0.97, 72.0, -23.760000000000005, 0.06496067622035964, 0.014231081678611923
0.98, 72.0, -23.040000000000006, 0.06528507007878157, 0.014980711655581833
0.99, 72.0, -22.320000000000007, 0.06560001844423978, 0.01573435879108292
1.0, 72.0, -21.60000000000001, 0.06590547158273634, 0.01649190407549592
1.01, 72.0, -20.88000000000001, 0.06620138125967978, 0.01725322788363869
1.02, 72.0, -20.159999999999997, 0.06648770074750182, 0.01801820999365639
1.03, 72.0, -19.439999999999998, 0.06676438483303619, 0.018786729606005866
1.04, 72.0, -18.72, 0.06703138982465838, 0.01955866536253138
1.05, 72.0, -18.0, 0.06728867355918498, 0.020333895365628418
1.06, 72.0, -17.28, 0.0675361954085318, 0.021112297197492726
1.07, 72.0, -16.560000000000002, 0.06777391628612943, 0.021893747939451546
1.08, 72.0, -15.840000000000003, 0.06800179865309558, 0.022678124191373855
1.09, 72.0, -15.120000000000005, 0.0682198065241628, 0.023465302091156694
1.1, 72.0, -14.400000000000006, 0.06842790547336103, 0.024255157334284433
1.11, 72.0, -13.680000000000007, 0.06862606263945381, 0.025047565193457882
1.12, 72.0, -12.960000000000008, 0.06881424673112752, 0.025842400538290212
1.1300000000000001, 72.0, -12.240000000000009, 0.06899242803193258, 0.026639537855066436
1.1400000000000001, 72.0, -11.52000000000001, 0.06916057840497605, 0.02743885126656353
1.1500000000000001, 72.0, -10.799999999999997, 0.06931867129736477, 0.0282402145519279
1.16, 72.0, -10.080000000000013, 0.06946668174439835, 0.02904350116660704
1.17, 72.0, -9.360000000000014, 0.06960458637351143, 0.02984858426233255
1.18, 72.0, -8.640000000000015, 0.06973236340796442, 0.030655336707150774
1.19, 72.0, -7.920000000000016, 0.06984999267028233, 0.031463631105498505
1.2, 72.0, -7.200000000000017, 0.06995745558544106, 0.0322733398183202
1.21, 72.0, -6.480000000000018, 0.07005473518380055, 0.03308433498322367
